latitude,longitude
25.29948435392411, 121.53677529733017
25.295396882880723, 121.53329758169986
25.291623710365954, 121.53538421107804
25.288164865747977, 121.53051540919556
25.285963731444674, 121.52773323669129
25.285963731444674, 121.52251666324578
25.28627818164811, 121.51451791729599
25.28753597430914, 121.51243128791779
25.290680398890665, 121.51243128791779
25.288164865747977, 121.50860580072441
25.284077013104184, 121.50964911541352
25.27998902269075, 121.5065191713462
25.27810221142234, 121.50199814102677
25.27684432094198, 121.49712933914431
25.274328500860005, 121.49469493820305
25.27212711550189, 121.48843505006843
25.270554672941003, 121.48321847662292
25.265837223028797, 121.47800190317741
25.263321174781105, 121.47869744630349
25.262692154571845, 121.47661081692527
25.258917964883167, 121.47348087285798
25.256087245634724, 121.4748719591101
25.252627388064475, 121.47139424347976
25.250740151487637, 121.46722098472337
25.249796522204374, 121.46304772596694
25.248538338425117, 121.45922223877358
25.251683773441076, 121.4564400662693
25.249796522204374, 121.45191903594986
25.246651038325172, 121.44948463500862
25.242876350179355, 121.44913686344559
25.236270363797637, 121.44565914781525
25.231236990343444, 121.44565914781525
25.2280910239585, 121.44113811662886
25.2214842341691, 121.44009480193974
25.215820985867673, 121.43696485787245
25.213933177852127, 121.43244382755299
25.208584229428837, 121.42896611192266
25.202605714762367, 121.42340176691411
25.201347042682453, 121.4192285081577
25.194738800791626, 121.41540302096433
25.19222128098487, 121.4192285081577
25.188130200319016, 121.41435970627522
25.18750079109878, 121.40844758970363
25.183094835510982, 121.40496987407332
25.167987492690276, 121.41018644751881
25.166098943198836, 121.41122976220792
25.162951295718894, 121.4070565034515
25.159803567002594, 121.401839930006
25.160118343529646, 121.40044884375385
25.16924650943502, 121.39036346842587
25.165154657485115, 121.38097363622396
25.159803567002594, 121.36949717464383
25.156655757057347, 121.371236032459
25.14626740801154, 121.38271249403911
25.15256348270344, 121.3795825499718
25.14626740801154, 121.36706277370259
25.14563778267801, 121.36393282963527
25.139026520599884, 121.36601945901347
25.135878174729395, 121.36636723057651
25.132729747686263, 121.3548907689964
25.12769209559671, 121.34445762210538
25.124858324262497, 121.33263338294564
25.123283978860886, 121.32254800761764
25.122654235020192, 121.31733143417215
25.125488056742938, 121.31628811948305
25.125488056742938, 121.30342057165079
25.122654235020192, 121.30237725696166
25.128006954204796, 121.30133394227258
25.124543456805096, 121.29855176976832
25.119820347572837, 121.29090079538155
25.11730128133668, 121.28429313568391
25.1179310527636, 121.27698993286019
25.118560820945305, 121.26829564378434
25.122654235020192, 121.26029689783455
25.120135227201363, 121.25612363907814
25.12076498402434, 121.24986375094352
25.116041728747447, 121.24812489312836
25.113522584629, 121.24429940593498
25.11635661811165, 121.24534272062407
25.11887570381919, 121.24742935000228
25.121709613173543, 121.24464717749802
25.120135227201363, 121.24082169030464
25.11635661811165, 121.24116946186767
25.114467269757622, 121.23247517279181
25.11226299310075, 121.2310840865397
25.11068848543917, 121.224128655279
25.10911395749926, 121.21404327995101
25.103760409346954, 121.20256679881271
25.09746181909675, 121.19282919504776
25.093367561509293, 121.18691707847616
25.090532995224496, 121.17752724627425
25.08423372395329, 121.17474507376997
25.080139023769135, 121.17857056096335
25.081083966737634, 121.17370175908087
25.085493604145732, 121.17265844439174
25.081713924664495, 121.16083421124861
25.07856410261346, 121.15179215060974
25.07698916119842, 121.13892460277746
25.0741542156007, 121.12570928338216
25.06911415026508, 121.11388505023899
25.066594039820785, 121.10414744647403
25.063443828857533, 121.09788755833944
25.06029353689247, 121.09823532990247
25.06029353689247, 121.09440984270908
25.053992709986673, 121.08536778207021
25.050212058358767, 121.07841235080951
25.046116220851818, 121.07250023423795
25.04422578816146, 121.06450148828814
25.04706142626738, 121.06102377265783
25.042335326326786, 121.05824160015354
25.041705165905665, 121.05337279827107
25.040444835349422, 121.0547638845232
25.03508828599997, 121.0478084532625
25.03886940394103, 121.04224410825397
25.03319768332384, 121.04537405232128
25.02973150274893, 121.04154856512793
25.03382788745319, 121.0342453623042
25.028471049171817, 121.0394619357497
25.022483717880238, 121.0363319916824
25.017756671076686, 121.03215873292599
25.013344596511743, 121.03007210354778
25.01239913133616, 121.03146318979991
25.004519971808232, 121.02346444385013
24.996640306889883, 121.0199867282198
24.99222747382456, 121.01546569790034
24.99033620882423, 121.01198797391268
24.981825166730417, 121.01581346110606
24.978988021781777, 121.02207334924069
24.978988021781777, 121.01511791797999
24.973944046939284, 121.0140746032909
24.969845665089142, 121.01059688766054
24.964170756688155, 121.00538031161423
24.956919104627634, 121.00155482442085
24.951243600696408, 120.99494716472321
24.94777510840588, 120.98903504815162
24.939576465617534, 120.98486178939521
24.932638726342866, 120.98068853063882
24.93011581522654, 120.97408087094118
24.927277478496055, 120.97095092687387
24.92349292786713, 120.972342013126
24.919708261072973, 120.96886429749564
24.913084814699573, 120.96608212499139
24.90929982851783, 120.96608212499139
24.908038140652913, 120.97790635813456
24.90866898619808, 120.96851652593261
24.905199295786932, 120.96608212499139
24.902675823301866, 120.96573435342833
24.89920596438694, 120.96156109467192
24.8951050962781, 120.95808337904161
24.887849380554105, 120.95286680559607
24.882801674704993, 120.9511279477809
24.87964675380177, 120.95182349090697
24.873652180329277, 120.94799799989904
24.868603894428976, 120.94452028426872
24.86513307826915, 120.94139034020141
24.86039999010767, 120.93478268050376
24.857875602341334, 120.93373936581466
24.850933269900047, 120.92087182410302
24.851879974485854, 120.91808965159875
24.85377336192228, 120.91704633690965
24.8534577993621, 120.91391639284234
24.85030212948461, 120.91878519472483
24.85030212948461, 120.92400176817033
24.842728193368618, 120.92295845348121
